$I In0	$I In1	$I In2	$I In3	$I S0	$I S1	$E Z
00	.X	.X	.X	0	0	00
80	.X	.X	.X	0	0	80
01	.X	.X	.X	0	0	01
aa	.X	.X	.X	0	0	aa
55	.X	.X	.X	0	0	55
55	.X	.X	.X	0	1	.X
55	.X	.X	.X	0	0	55
55	00	.X	.X	0	0	55
55	.X	00	.X	0	0	55
55	.X	.X	00	0	0	55
55	00	.X	.X	0	1	00
55	01	.X	.X	0	1	01
.X	01	.X	.X	0	1	01
.X	55	.X	.X	0	1	55
.X	55	.X	.X	1	0	.X
.X	55	aa	.X	1	0	aa
.X	.X	aa	.X	1	0	aa
.X	.X	80	.X	1	0	80
.X	.X	80	55	1	0	80
.X	.X	80	55	1	1	55
.X	.X	80	aa	1	1	aa
.X	.X	80	aa	.X	1	00
.X	.X	80	aa	.X	.X	00
.X	.X	.X	.X	0	.X	00
